Feature,Mean,Std Dev
F1,523.4139547885184,219.90345174919668
F2,0.07418948274968101,0.020840236510136837
F3,0.01378796777210534,0.0022845240915715225
F4,0.7689500579219333,0.10333753637421567
F5,616.7258651452167,244.79864074958888
F6,0.06772026627977085,0.01703451928435757
F7,0.013451610068684373,0.002210573340092422
F8,0.7291391375695905,0.11714299670795168
F9,484.88820153093303,216.56789461747996
F10,0.07746579773024717,0.022224067828299134
F11,0.013988631314157658,0.0023197402203293583
F12,0.7853945025566275,0.10218549344084485
F13,614.0668734287655,239.8031299313487
F14,0.0676449369705475,0.016469329956714865
F15,0.013444136348465963,0.002166869403904523
F16,0.7302270407287793,0.1166567672115412
F17,831.3171483077904,266.78322308665474
F18,0.058570837186067155,0.014653273566952974
F19,0.012973797789320948,0.002109755319807123
F20,0.6380401781001324,0.13837558388539822
F21,811.6621113276689,279.3280879617248
F22,0.05908973273464912,0.014915795104389711
F23,0.013010119376890936,0.002140613265346214
F24,0.6467976209440988,0.14018425891388173
F25,837.4803162515976,269.0538499729023
F26,0.05837059834229558,0.01431532291459273
F27,0.01295419232189426,0.0020974823475146784
F28,0.6364596549625535,0.13826180040687658
F29,811.6151511217039,275.0879218874101
F30,0.05913920631643369,0.014290345029224435
F31,0.013008306471791705,0.00208943587668833
F32,0.6470269708259484,0.1408580718057268
F33,27.825219866873205,6.9648767155996225
F34,20.493949075109402,9.517895650708407
F35,41.07307568546456,17.03243837990837
F36,32.30932641051066,12.06054804909448
F37,127.04503482511674,16.628334803666224
F38,35.08948605960407,7.698237517846659
F39,5842.4687100894,2911.895169080293
F40,934.4910736799544,426.90386249337627
F41,0.1053471957685073,0.08246111742160836
F42,0.7105027809565544,0.16289829088908525
